ta;Ubike;Ibike;Ua;Ia1;Ia2;Ia3;Sa1;Sa2;Sa3;Din1;DMka;DZka;Ika;Din2;Temp1;Temp2;Bpos;vs;v;dzp;Temp3;Pbike;Pa1;Pa2;Pa3;s;FW;UF;Marke;ERR
7;0,0;-0,01;42,02;0,01;0,02;0,13;0;0;0;2;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,67;4,39;0,0;0,04;-0,0;0;0
17;0,0;-0,01;42,02;0,01;0,01;0,11;0;0;0;2;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,25;3,7;0,0;0,04;-0,0;0;0
27;0,0;-0,03;42,02;-0,01;0,01;0,12;0;0;0;2;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,46;3,93;0,0;0,04;-0,0;0;0
37;0,0;-0,01;42,02;-0,01;0,01;0,14;0;0;0;2;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,46;4,62;0,0;0,04;-0,0;0;0
47;0,0;-0,03;42,02;-0,01;0,01;0,14;0;0;0;2;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,25;4,62;0,0;0,04;-0,0;0;0
57;0,0;-0,02;42,02;-0,01;0,03;0,12;0;0;0;2;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,88;4,16;0,0;0,04;-0,0;0;0
67;0,0;-0,01;42,02;-0,02;0,02;0,12;150;0;0;2;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,67;3,93;0,0;0,04;-0,0;0;0
77;0,0;-0,02;42,02;0,01;0,01;0,11;156;0;0;2;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,46;3,7;0,0;0,04;-0,0;0;0
87;0,0;-0,02;42,02;-0,01;0,02;0,13;162;0;0;2;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,67;4,39;0,0;0,04;-0,0;0;0
97;0,0;-0,02;42,02;0,01;0,01;0,12;168;0;0;2;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,46;4,16;0,0;0,04;-0,0;0;0
107;0,0;-0,02;42,02;0,0;0,02;0,14;174;0;0;2;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,67;4,62;0,0;0,04;-0,0;0;0
117;0,0;-0,01;42,02;0,01;0,02;0,15;180;0;0;2;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,67;5,08;0,0;0,04;-0,0;0;0
127;0,0;-0,01;42,02;0,0;0,01;0,14;186;0;0;2;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,46;4,85;0,0;0,04;-0,0;0;0
137;0,0;-0,02;42,02;-0,01;0,01;0,13;192;0;0;2;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,25;4,39;0,0;0,04;-0,0;0;0
147;0,0;-0,02;42,02;0,0;0,01;0,13;198;0;0;2;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,25;4,39;0,0;0,04;-0,0;0;0
157;0,0;-0,02;42,02;-0,01;0,01;0,14;204;0;0;2;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,25;4,62;0,0;0,04;-0,0;0;0
167;0,0;-0,01;42,02;0,0;0,01;0,16;210;0;0;2;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,46;5,32;0,0;0,04;-0,0;0;0
177;0,0;-0,02;42,02;-0,01;0,01;0,15;216;0;0;2;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,46;5,08;0,0;0,04;-0,0;0;0
187;0,0;-0,01;42,02;-0,01;0,01;0,14;222;0;0;0;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,25;4,85;0,0;0,04;-0,0;0;0
197;0,0;-0,02;42,02;0,0;0,01;0,12;228;0;0;0;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,46;3,93;0,0;0,04;-0,0;0;0
207;0,0;-0,02;42,02;-0,01;0,02;0,14;234;0;0;0;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,67;4,85;0,0;0,04;-0,0;0;0
217;0,0;-0,02;42,02;0,0;0,01;0,16;240;0;0;0;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,46;5,32;0,0;0,04;-0,0;0;0
227;0,0;-0,03;42,02;0,01;0,0;0,14;246;0;0;0;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,04;4,62;0,0;0,04;-0,0;0;0
237;0,0;-0,01;42,02;0,0;0,03;0,13;252;0;0;0;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,88;4,39;0,0;0,04;-0,0;0;0
247;0,0;-0,02;42,02;0,01;0,02;0,15;258;0;0;0;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,67;5,08;0,0;0,04;-0,0;0;0
257;0,0;-0,01;42,02;0,0;0,01;0,16;264;0;0;0;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,25;5,32;0,0;0,04;-0,0;0;0
267;0,0;-0,01;42,02;0,01;0,03;0,14;270;0;0;0;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;1,09;4,85;0,0;0,04;-0,0;0;0
277;0,0;-0,02;42,02;0,01;0,02;0,15;276;0;0;0;0,0;0,0;70;32;254,0;254,0;0;0,3;0,5;27;90,5;-0,0;0,0;0,67;5,08;0,0;0,04;-0,0;0;0
